Bacchanal Buffet,"Sandwiches, Breakfast & Brunch, Food, Restaurants, Buffets",10129,NV,4.0,36.1159291,-115.1762385,Las Vegas,10129
"Snooze, An A.M. Eatery","Breakfast & Brunch, Coffee & Tea, Sandwiches, Restaurants, Food",3515,AZ,4.0,33.5082039543,-112.0370330476,Phoenix,3515
Pai Northern Thai Kitchen,"Restaurants, Thai, Specialty Food, Food, Ethnic Food",2758,ON,4.5,43.647866,-79.3886849,Toronto,2758
Schwartz's,"Sandwiches, Specialty Food, Restaurants, Food, Cheese Shops, Imported Food, Delis, Ethnic Food",2667,QC,4.0,45.516353,-73.577642,Montréal,2667
Studio B Buffet,"Desserts, Seafood, Specialty Food, Food, Restaurants, Buffets",2456,NV,4.0,35.9650723,-115.1679801,Henderson,2456
Four Peaks Brewing,"Specialty Food, Pubs, American (New), Nightlife, Cheese Shops, Breakfast & Brunch, American (Traditional), Burgers, Breweries, Bars, Brewpubs, Sandwiches, Pizza, Restaurants, Food",2400,AZ,4.5,33.4195782,-111.9158847,Tempe,2400
Rehab Burger Therapy,"Nightlife, Sandwiches, Restaurants, American (New), Bars, Burgers, Cafes",2369,AZ,4.5,33.4915029708,-111.925627,Scottsdale,2369
Joe's Farm Grill,"Restaurants, Local Flavor, Pizza, American (Traditional), Salad, Italian",2369,AZ,4.0,33.321866,-111.726244,Gilbert,2369
Tupelo Honey,"Southern, Restaurants, American (New), Breakfast & Brunch",2028,NC,4.0,35.2112069,-80.8587519,Charlotte,2028
Meat & Potatoes,"Specialty Food, Meat Shops, Steakhouses, Food, Gastropubs, American (New), Restaurants",2001,PA,4.0,40.4431445863,-80.0011037908,Pittsburgh,2001
The Old Fashioned,"Breakfast & Brunch, Sandwiches, American (Traditional), Burgers, Food, German, American (New), Bars, Steakhouses, Nightlife, Beer Bar, Beer, Wine & Spirits, Salad, Restaurants",1879,WI,4.0,43.0761862475,-89.3837572172,Madison,1879
Hwaro,"Korean, Restaurants, Buffets, Barbeque",1879,NV,4.5,36.1270307944,-115.209860464,Spring Valley,1879
Townhall,"Food, American (New), Salad, Sandwiches, Beer, Wine & Spirits, Restaurants, Juice Bars & Smoothies, Bars, Nightlife, Beer Bar",1372,OH,4.0,41.485492,-81.703914,Cleveland,1372
